Month,International airline passengers: monthly totals in thousands. Jan 49 ? Dec 60
118,112
132,118
129,132
121,129
135,121
148,135
148,148
136,148
119,136
104,119
118,104
115,118
126,115
141,126
135,141
125,135
149,125
170,149
170,170
158,170
133,158
114,133
140,114
145,140
150,145
178,150
163,178
172,163
178,172
199,178
199,199
184,199
162,184
146,162
166,146
171,166
180,171
193,180
181,193
183,181
218,183
230,218
242,230
209,242
191,209
172,191
194,172
196,194
196,196
236,196
235,236
229,235
243,229
264,243
272,264
237,272
211,237
180,211
201,180
204,201
188,204
235,188
227,235
234,227
264,234
302,264
293,302
259,293
229,259
203,229
229,203
242,229
233,242
267,233
269,267
270,269
315,270
364,315
347,364
312,347
274,312
237,274
278,237
284,278
277,284
317,277
313,317
318,313
374,318
413,374
405,413
355,405
306,355
271,306
306,271
315,306
301,315
356,301
348,356
355,348
422,355
465,422
467,465
404,467
347,404
305,347
336,305
340,336
318,340
362,318
348,362
363,348
435,363
491,435
505,491
404,505
359,404
310,359
337,310
360,337
342,360
406,342
396,406
420,396
472,420
548,472
559,548
463,559
407,463
362,407
405,362
417,405
391,417
419,391
461,419
472,461
535,472
622,535
606,622
508,606
461,508
390,461
432,390
467,432
